player,shots,goals,total_xg,g_minus_xg,xg_per_shot
Aurélien Djani Tchouaméni,18,1,0.7297066358721813,0.2702933641278187,0.04053925754845452
Axel Disasi,1,0,0.04167777922129,-0.04167777922129,0.04167777922129
Axel Witsel,9,0,0.3251839296477556,-0.3251839296477556,0.03613154773863951
Aymeric Laporte,8,1,0.5739036224575679,0.4260963775424321,0.07173795280719598
Ayoub El Kaabi,1,0,0.062109937052334946,-0.062109937052334946,0.062109937052334946
Ayoze Pérez Gutiérrez,3,0,0.23488067528855544,-0.23488067528855544,0.07829355842951848
Aziz Eraltay Behich,4,0,0.3395416832179899,-0.3395416832179899,0.08488542080449747
Azzedine Ounahi,6,0,0.21090262190737813,-0.21090262190737813,0.03515043698456302
Aïssa Bilal Laïdouni,2,0,0.20666673021244086,-0.20666673021244086,0.10333336510622043
Bamidele Alli,6,1,0.4265113855668566,0.5734886144331435,0.07108523092780943
Barnabás Varga,4,1,0.8442955685882954,0.15570443141170465,0.21107389214707384
Bartosz Bereszyński,3,0,0.08954102041881401,-0.08954102041881401,0.029847006806271337
Bartosz Salamon,1,0,0.0008344735201295978,-0.0008344735201295978,0.0008344735201295978
Barış Alper Yılmaz,4,0,0.2721166193672928,-0.2721166193672928,0.0680291548418232
Ben Davies,6,0,0.4798415006356803,-0.4798415006356803,0.07997358343928006
Bendegúz Bolla,3,0,0.1901798742595092,-0.1901798742595092,0.06339329141983639
Benjamin Henrichs,1,0,0.0326784945392124,-0.0326784945392124,0.0326784945392124
Benjamin Pavard,5,1,0.3148122881288825,0.6851877118711175,0.0629624576257765
Benjamin Verbič,1,0,0.030933322085493802,-0.030933322085493802,0.030933322085493802
Benjamin Šeško,8,0,0.6330501230242704,-0.6330501230242704,0.0791312653780338
Berat Djimsiti,2,0,0.14595281465130236,-0.14595281465130236,0.07297640732565118
Bernardo Mota Veiga de Carvalho e Silva,10,1,1.0336945490487346,-0.03369454904873459,0.10336945490487345
Billy Gilmour,2,0,0.03342035890822312,-0.03342035890822312,0.01671017945411156
Birkir Bjarnason,7,0,0.5923306697291367,-0.5923306697291367,0.0846186671041624
Blaise Matuidi,5,0,0.20597272792774507,-0.20597272792774507,0.04119454558554901
Blas Antonio Miguel Pérez Ortega,1,0,0.06362980306294552,-0.06362980306294552,0.06362980306294552
Blerim Džemaili,9,1,1.1109868705631265,-0.1109868705631265,0.12344298561812517
Boban Nikolov,4,0,0.5082028430547911,-0.5082028430547911,0.12705071076369778
Borna Barišić,1,0,0.009016740359418698,-0.009016740359418698,0.009016740359418698
Borna Sosa,2,0,0.06101369740587481,-0.06101369740587481,0.030506848702937406
Boulaye Dia,8,1,0.5837856391061504,0.41621436089384956,0.0729732048882688
Bradley Barcola,2,0,0.1873654976576825,-0.1873654976576825,0.09368274882884126
Breel-Donald Embolo,29,5,4.527626193315797,0.47237380668420315,0.1561250411488206
Brenden Aaronson,1,0,0.0991272823239425,-0.0991272823239425,0.0991272823239425
Brennan Johnson,3,0,0.16678083611884176,-0.16678083611884176,0.05559361203961392
Bruno Guimarães Rodriguez Moura,5,0,0.7660987138148438,-0.7660987138148438,0.15321974276296876
Bruno Miguel Borges Fernandes,23,2,1.502720824587695,0.49727917541230493,0.06533568802555197
Bruno Petković,6,1,0.5335235242765175,0.4664764757234825,0.08892058737941959
Bryan Cristante,4,0,0.15433686478619013,-0.15433686478619013,0.03858421619654753
Bryan Mbeumo,2,0,0.19901737417673168,-0.19901737417673168,0.09950868708836584
Bryan Oviedo,3,0,0.1297965755755915,-0.1297965755755915,0.04326552519186383
Bryan Ruiz González,1,0,0.10299724382362327,-0.10299724382362327,0.10299724382362327
Budu Zivzivadze,1,0,0.050683390325976366,-0.050683390325976366,0.050683390325976366
Bukayo Saka,15,4,0.9793248759173602,3.02067512408264,0.06528832506115735
Burak Yılmaz,10,0,1.1951537219452053,-1.1951537219452053,0.11951537219452053
Caglar Söyüncü,1,0,0.028888720897254777,-0.028888720897254777,0.028888720897254777
Callum McGregor,5,1,0.15115607043405338,0.8488439295659467,0.030231214086810676
Carlos Alberto Vela Garrido,8,0,1.0219899988898873,-1.0219899988898873,0.1277487498612359
Carlos Andrés Sánchez Arcosa,2,0,0.1573649287191849,-0.1573649287191849,0.07868246435959245
Carlos Arturo Bacca Ahumada,2,0,0.11442054238645616,-0.11442054238645616,0.05721027119322808
Carlos Henrique Casimiro,12,1,0.5759802834250568,0.4240197165749432,0.04799835695208807
Carlos Joel Salcedo Hernández,5,0,0.10052349185840212,-0.10052349185840212,0.020104698371680423
Carlos Soler Barragán,3,1,0.42660930009931625,0.5733906999006837,0.1422031000331054
Carlos Uriel Antuna Romero,2,0,0.40523404040287936,-0.40523404040287936,0.20261702020143968
Celso Borges Mora,5,0,0.4143249560613448,-0.4143249560613448,0.08286499121226895
Cengiz Umut Meraş,1,0,0.04582789418648053,-0.04582789418648053,0.04582789418648053
Cengiz Ünder,9,0,0.41795700518796625,-0.41795700518796625,0.04643966724310736
Cenk Tosun,3,1,0.18871747069667655,0.8112825293033235,0.06290582356555885
Che Adams,9,0,0.7863028959350827,-0.7863028959350827,0.08736698843723141
Cheikh Ahmadou Bamba Mbacke Dieng,3,1,0.33037744201744934,0.6696225579825507,0.11012581400581645
Cheikh N'Doye,1,0,0.07750955248370504,-0.07750955248370504,0.07750955248370504
Chris Führich,1,0,0.0448864569956277,-0.0448864569956277,0.0448864569956277
Chris Gunter,1,0,0.09591506881080394,-0.09591506881080394,0.09591506881080394
Chris Mepham,1,0,0.0522774349848432,-0.0522774349848432,0.0522774349848432
Christian Alberto Cueva Bravo,1,0,0.06433415269776188,-0.06433415269776188,0.06433415269776188
Christian Dannemann Eriksen,26,2,1.389978370300633,0.610021629699367,0.05346070655002434
Christian Fassnacht,1,0,0.42376154882289313,-0.42376154882289313,0.42376154882289313
Christian Pulisic,9,1,1.027729917036423,-0.027729917036422913,0.11419221300404699
Christoph Baumgartner,11,2,1.9784900784708372,0.021509921529162757,0.17986273440643974
Christopher Wooh,1,0,0.01663353581443132,-0.01663353581443132,0.01663353581443132
Ciro Immobile,18,2,1.4794863479251343,0.5205136520748657,0.0821936859958408
Cody Mathès Gakpo,18,6,1.569576843484719,4.430423156515281,0.08719871352692883
Cole Palmer,3,1,0.1421995393421277,0.8578004606578723,0.0473998464473759
Connor Roberts,2,1,0.1603405377043956,0.8396594622956044,0.0801702688521978
Corentin Tolisso,3,0,0.21819688769374326,-0.21819688769374326,0.07273229589791443
Craig Goodwin,2,1,0.33116676648461835,0.6688332335153817,0.16558338324230917
Cristhian Ricardo Stuani Curbelo,1,0,0.0590820722370429,-0.0590820722370429,0.0590820722370429
